\nINSERT INTO produit (noproduit, nomp, couleur, origine) VALUES('P5','Salade','Vert','Nice')
\nINSERT INTO produit (noproduit, nomp, couleur, origine) VALUES('P6','Cornichon','Vert','Dijon')
\nINSERT INTO produit (noproduit, nomp, couleur, origine) VALUES('P7','Muscadet','Blanc','Nantes')
\n\n\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F1','P1',1)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F1','P4',1)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F1','P5',8)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F1','P6',2)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F2','P2',1)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F2','P4',1)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F3','P2',5)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F3','P4',1)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F4','P4',2)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F4','P5',7)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F4','P6',3)
\nINSERT INTO fourniture (nofour, noproduit, quantite) VALUES ('F5','P3',10)
