time,Backup:backupCopyFilesCount,Backup:backupCopyFilesMs,BtreeOp:nBinDeltaDelete,BtreeOp:nBinDeltaGet,BtreeOp:nBinDeltaInsert,BtreeOp:nBinDeltaUpdate,BtreeOp:nRootSplits,BtreeOp:relatchesRequired,Cache:DOSBytes,Cache:adminBytes,Cache:cacheTotalBytes,Cache:dataBytes,Cache:lockBytes,Cache:lruDirtySize,Cache:lruMixedSize,Cache:nBINDeltasFetchMiss,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsFetchMissRatio,Cache:nBinDeltaBlindOps,Cache:nBytesEvictedCACHEMODE,Cache:nBytesEvictedCRITICAL,Cache:nBytesEvictedDAEMON,Cache:nBytesEvictedEVICTORTHREAD,Cache:nBytesEvictedMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nDirtyNodesEvicted,Cache:nEvictionRuns,Cache:nFullBINsMiss,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsEvicted,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesMovedToDirtyLRU,Cache:nNodesMutated,Cache:nNodesPutBack,Cache:nNodesSkipped,Cache:nNodesStripped,Cache:nNodesTargeted,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:activeLogSize,Cleaning:availableLogSize,Cleaning:maxPredictedUtilization,Cleaning:maxUtilization,Cleaning:minPredictedUtilization,Cleaning:minUtilization,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerDisksReads,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerRuns,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsExpired,Cleaning:nLNsExtinct,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nPendingDBsIncomplete,Cleaning:nPendingDBsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRevisalRuns,Cleaning:nTwoPassRuns,Cleaning:pendingDBQueueSize,Cleaning:pendingLNQueueSize,Cleaning:protectedLogSize,Cleaning:protectedLogSizeMap,Cleaning:reservedLogSize,Cleaning:totalLogSize,Environment:environmentCreationTime,Eraser:eraserCycleEnd,Eraser:eraserCycleStart,Eraser:eraserFSyncs,Eraser:eraserFilesAlreadyDeleted,Eraser:eraserFilesDeleted,Eraser:eraserFilesErased,Eraser:eraserFilesRemaining,Eraser:eraserReadBytes,Eraser:eraserReads,Eraser:eraserWriteBytes,Eraser:eraserWrites,I/O:bufferBytes,I/O:endOfLog,I/O:fSync95Ms,I/O:fSync99Ms,I/O:fSyncAvgMs,I/O:fSyncMaxMs,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nRepeatIteratorReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:G1 Old Generation.count,Jvm:G1 Old Generation.time,Jvm:G1 Young Generation.count,Jvm:G1 Young Generation.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,OffHeap:offHeapAllocFailure,OffHeap:offHeapAllocOverflow,OffHeap:offHeapBINsLoaded,OffHeap:offHeapBINsStored,OffHeap:offHeapCachedBINDeltas,OffHeap:offHeapCachedBINs,OffHeap:offHeapCachedLNs,OffHeap:offHeapCriticalNodesTargeted,OffHeap:offHeapDirtyNodesEvicted,OffHeap:offHeapLNsEvicted,OffHeap:offHeapLNsLoaded,OffHeap:offHeapLNsStored,OffHeap:offHeapLruSize,OffHeap:offHeapNodesEvicted,OffHeap:offHeapNodesMutated,OffHeap:offHeapNodesSkipped,OffHeap:offHeapNodesStripped,OffHeap:offHeapNodesTargeted,OffHeap:offHeapThreadUnavailable,OffHeap:offHeapTotalBlocks,OffHeap:offHeapTotalBytes,Op:priDelete,Op:priDeleteFail,Op:priInsert,Op:priInsertFail,Op:priPosition,Op:priSearch,Op:priSearchFail,Op:priUpdate,Op:secDelete,Op:secInsert,Op:secPosition,Op:secSearch,Op:secSearchFail,Op:secUpdate,TaskCoordinator:nApplicationPermits,TaskCoordinator:nDeficitPermits,TaskCoordinator:nRealPermits
2024-11-07 08:35:15.621 UTC, , , , , , , , , ,125,3159893,14040, , ,3, ,11, , , , , , , , , ,3,3, , , , ,1,4, , , , , , , , , , , , , , , , ,1377,1,744,744,1, ,2,4,1427,649728753664,-1,-1,-1,-1, , , , , ,1,12, , , , , , , , , , , , , , , , , , , , , , , , , ,1427,1730968515589,,, , , , , , , , , ,3145728,1377,1,1,0,1, , , ,4,4,3,5, ,3,5, , , , , ,38,1, , , ,12288,3,1389,5, , , , , , ,44,91,238238440, , , , , , , ,11, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:36:15.624 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, ,2627, , , , , , , , , ,10,10, , , ,1,2,12, ,2373, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,649100853248,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1730968515589,,, , , , , , , , , ,3145728,107191,1,1,0,1, , , ,99,99,2,99, ,3,100, , , , , , , , , , ,4096,2,105793,101, , , , , , ,92,133,226940144, , , , , , , ,2756, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , ,29, ,183, ,134,2139,256,1, , , , , , , , , 
2024-11-07 08:37:15.627 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, ,984, , , , , , , , , ,10,10, , , ,1,2,12, ,1066, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,648258322432,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1730968515589,,, , , , , , , , , ,3145728,107191,0,0,0,0, , , , , , , , ,3,1, , , , , , , , , , , , , , , , , , , , ,6,7,327907704, , , , , , , ,1073, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,92,974,2, , , , , , , , , , 
2024-11-07 08:38:15.629 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,647325876224,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1730968515589,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,348879224, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:39:15.635 UTC, , , , , , , , , ,589,3279013,131800,896, ,10, , , , , , , , , , , ,10,10, , , ,1,2,12, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,107220,646411452416,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,107220,1730968515589,,, , , , , , , , , ,3145728,107191, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,378239352, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:40:15.638 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, ,39, , , , , , , , , ,11,11, , , ,1,2,14, ,23, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,645618728960,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1730968515589,,, , , , , , , , , ,3145728,109916,1,1,0,1, , , ,1,1, ,1, ,3,2, , , , , , , , , , , , ,2726,3, , , , , , ,1,2,78814960, , , , , , , ,45, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,4, , ,10,4,1, , , , , , , , , 
2024-11-07 08:41:15.642 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,644971954176,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1730968515589,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,97689328, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:42:15.646 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,644455989248,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1730968515589,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,122855152, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:43:15.649 UTC, , , , , , , , , ,589,3283261,135936,1008, ,11, , , , , , , , , , , ,11,11, , , ,1,2,14, , , , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,643761504256,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1730968515589,,, , , , , , , , , ,3145728,109916, , , , , , , , , , , , ,3, , , , , , , , , , , , , , , , , , , , , , , ,145923824, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2024-11-07 08:44:15.652 UTC, , , , , , , , , ,589,3296189,148528,1344, ,14, ,90, , , , , , , , , ,14,14, , , ,1,2,19, ,68, , , , , , , , , , , , , , ,1377,1,744,744, , , , ,109946,643106996224,72,72,72,72, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,109946,1730968515589,,, , , , , , , , , ,3145728,115310,1,1,0,1, , , ,2,2, ,2, ,3,4, , , , , , , , , , , , ,5394,3, , , , , , , , ,179478256, , , , , , , ,106, , , , , ,1, , , , , , , , , , , , , , , , , , , , , , , , ,9, ,6,44,6,1, , , , , , , , , 
